id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,avatar,background_image
58528137,Adam Levine,adamlevine,man in a suitcase.,"Los Angeles, CA",http://www.maroon5.com/,20 Jul 2009,10:12 AM,5890,14544,8589813,223,391,0,1,https://pbs.twimg.com/profile_images/2708050576/45637f9375bdf044ba5f66376221fa36_400x400.jpeg,
67995848,Green Day,GreenDay,God's Favorite Band out now https://greenday.lnk.to/gfb  // Personal accounts @billiejoe @trecool @mikedirnt,"East Bay, California",http://www.greenday.com,22 Aug 2009,3:05 PM,1979,184,5145825,337,327,0,1,https://pbs.twimg.com/profile_images/918455916231643141/p7TI5rZg_400x400.jpg,https://pbs.twimg.com/profile_banners/67995848/1510894458/1500x500
30040682,Anahi,Anahi,Exclusive Management -The Sixth House info@sixthhouse.com,,http://www.youtube.com/anahichannelone,9 Apr 2009,11:49 AM,7833,676,9872916,6,626,0,1,https://pbs.twimg.com/profile_images/733455144839319552/o4kRt-4X_400x400.jpg,https://pbs.twimg.com/profile_banners/30040682/1465139678/1500x500
85452649,Ed Sheeran,edsheeran,"I don't use this anymore, please follow me on teddysphotos on instagram, lots of love x",London,,26 Oct 2009,4:57 PM,29284,0,19371266,14,720,0,1,https://pbs.twimg.com/profile_images/819500159365160960/AOneM0y3_400x400.jpg,https://pbs.twimg.com/profile_banners/85452649/1488524792/1500x500
890533723946364928,S,siwon407,,,,27 Jul 2017,4:25 AM,0,0,0,0,0,1,0,https://pbs.twimg.com/profile_images/890863542823288832/I53IcF1N_400x400.jpg,
921086226,Sherina Munaf,sherinamunaf,follow my official account @sherinasinna,,,2 Nov 2012,7:08 AM,10,0,3760,2,3,0,0,https://pbs.twimg.com/profile_images/488445570139185154/Ro7sY0wi_400x400.jpeg,https://pbs.twimg.com/profile_banners/921086226/1433850494/1500x500
19373710,LINKIN PARK,linkinpark,,"Los Angeles, CA",http://linkinpark.com,22 Jan 2009,5:05 PM,6304,129,6172393,1801,1398,0,1,https://pbs.twimg.com/profile_images/909799114795188224/VrorxFfy_400x400.jpg,https://pbs.twimg.com/profile_banners/19373710/1513364665/1500x500
2645107748,Cheryl Cole,CherylCole,,,,14 Jul 2014,3:51 AM,1,0,2155,0,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
17929027,Wale,Wale,WALE FOLARiN,,https://ad.gt/freelunch,6 Dec 2008,1:15 PM,3580,2625,5753817,2867,877,0,1,https://pbs.twimg.com/profile_images/1038179213659066369/IPXrWgQt_400x400.jpg,https://pbs.twimg.com/profile_banners/17929027/1536899163/1500x500
262794965,Jaden Smith,officialjaden,https://itunes.apple.com/us/album/syre-the-electric-album-ep/1409248063 …,,http://shopjustwater.com/,8 Mar 2011,11:41 AM,5341,173,7962205,1735,1184,0,1,https://pbs.twimg.com/profile_images/1050457621747007488/gxseSDRf_400x400.jpg,https://pbs.twimg.com/profile_banners/262794965/1537727959/1500x500
16998020,LILY ALLEN,lilyallen,My Thoughts Exactly out now!! 💕 👇,London,http://bit.ly/MyThoughtsExactlyBook,27 Oct 2008,6:23 AM,32443,2445,5569762,6737,1940,0,1,https://pbs.twimg.com/profile_images/1007589980372389888/xySPa2m6_400x400.jpg,https://pbs.twimg.com/profile_banners/16998020/1537435425/1500x500
1391049187,Go to @Usher,usherraymondiv,@Usher @Usher @Usher @Usher,,,29 Apr 2013,8:14 PM,1,1,2833,0,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
19028953,J. Cole,JColeNC,KOD,,http://www.dreamville.com,15 Jan 2009,9:08 AM,2682,410,11618824,153,90,0,1,https://pbs.twimg.com/profile_images/986669728407138310/H8CdILqR_400x400.jpg,https://pbs.twimg.com/profile_banners/19028953/1524075371/1500x500
16264006,pw,petewentz,i headbang in the rock and roll band fall out boy.,jet lag city.,https://www.instagram.com/petewentz/,12 Sep 2008,2:34 PM,19156,441,6627696,586,712,0,1,https://pbs.twimg.com/profile_images/502883858279170048/AcxPK-Om_400x400.jpeg,https://pbs.twimg.com/profile_banners/16264006/1354306133/1500x500
23648057,SEAN KINGSTON ©,SeanKingston,IN GOD I Trust.. Music is the way of Life!! New Music At http://www.soundcloud.com/seankingston  Show Bookings: kingstonbookings90@Gmail.com,.,http://smarturl.it/SeanKingstonApp,10 Mar 2009,1:24 PM,24515,699,3178952,1225,560,0,1,https://pbs.twimg.com/profile_images/830471820448976896/84p4O7bs_400x400.jpg,https://pbs.twimg.com/profile_banners/23648057/1485821028/1500x500
