Twitter Music Rank,Overall Twitter Rank,Name,Twitter handle,Country,Followers ,Following ,Tweets,Months on Twitter,
1,1,Justin Bieber ,@justinbieber,Canada,37617919,123131,21909,49,
2,2,Lady Gaga ,@ladygaga,USA,36218810,136267,2661,62,
3,3,Katy Perry ,@katyperry,USA,35048911,121,4545,51,
4,5,Rihanna ,@rihanna,USA,29217969,928,7658,42,
5,6,Taylor Swift ,@taylorswift13,USA,26317147,100,1729,53,
6,8,Britney Spears ,@britneyspears,USA,25757555,409895,2292,56,
7,9,Shakira ,@shakira,Colombia,20373031,89,1774,47,
8,10,Justin Timberlake ,@jtimberlake,USA,18854773,36,1478,49,
9,17,Jennifer Lopez ,@JLo,USA,16407892,321,1951,74,
10,18,Nicki Minaj ,@NICKIMINAJ,USA,16257145,2264,19980,48,
11,19,Bruno Mars ,@BrunoMars,USA,15895645,78,2592,40,
12,21,P!nk ,@Pink,USA,14883194,233,4305,50,
13,22,Selena Gomez ,@selenagomez,USA,14794264,1086,2515,50,
14,23,Marshall Mathers ,@Eminem,USA,14187868,0,209,74,
15,25,demetria lovato ,@ddlovato,USA,13247361,180,8999,51,
16,26,Adele ,@OfficialAdele,United Kingdom,13008150,177,173,31,
17,27,Alicia Keys ,@aliciakeys,USA,12654136,368,3669,48,
18,28,Chris Brown ,@chrisbrown,USA,12418597,1727,264,49,
19,29,Harry Styles ,@Harry_Styles,United Kingdom,12264098,1482,3793,31,
20,31,Miley Ray Cyrus ,@MileyCyrus,USA,11763425,242,3673,25,
21,32,One Direction ,@onedirection,United Kingdom,11199725,2249,4134,29,
22,34,Lil Wayne WEEZY F ,@LilTunechi,USA,11111693,35,716,38,
23,35,Niall Horan ,@NiallOfficial,United Kingdom,10940372,3046,6857,39,
24,38,Snoop Dogg ,@SnoopDogg,USA,10626289,2398,13589,74,
25,41,Louis Tomlinson ,@Louis_Tomlinson,United Kingdom,10042876,3130,4784,41,
26,42,Mariah Carey ,@MariahCarey,USA,10015009,67,4056,52,
27,43,Liam Payne ,@Real_Liam_Payne,United Kingdom,10009445,13827,7165,33,
28,44,Coldplay ,@coldplay,United Kingdom,10002184,2223,2696,52,
29,45,Wiz Khalifa ,@wizkhalifa,USA,9951338,450,26940,50,
30,47,Pitbull ,@Pitbull,Cuba,9665355,2076,3805,49,
31,49,Avril Lavigne ,@AvrilLavigne,Canada,9435229,36,1173,74,
32,50,Ashley Tisdale ,@ashleytisdale,USA,9343766,165,3830,53,
33,51,Kanye West,@kanyewest,USA,9310315,1,36,53,
34,53,Alejandro Sanz ,@AlejandroSanz,Spain,8965234,571,23388,47,
35,54,iamdiddy ,@iamdiddy,USA,8958131,1517,19458,53,
36,56,Zayn Malik,@zaynmalik,United Kingdom,8761045,1413,2152,32,
37,60,Ricky Martin ,@ricky_martin,Puerto Rico,8483946,242,4118,47,
38,62,David Guetta ,@davidguetta,France,8292003,76,1548,50,
39,69,Ivete Sangalo ,@ivetesangalo,Brazil,7895392,692,31983,61,
40,70,50cent ,@50cent,USA,7802833,16,9295,53,
41,72,Juanes,@juanes,Colombia,7515720,2415,5663,47,
42,73,Beyoncé Knowles ,@Beyonce,USA,7503011,8,4,74,
43,75,Ludacris ,@Ludacris,USA,7380986,249,9378,53,
44,78,Usher,@UsherRaymondIV,USA,7239902,287,2486,48,
45,79,Agnes Monica ,@agnezmo,Indonesia,7235243,450,11278,47,
46,89,will.i.am ,@iamwill,USA,6430308,621,3545,47,
47,91,Paulina Rubio ,@paurubio,Mexico,6413946,580,4007,50,
48,92,Jessie J,@JessieJ,United Kingdom,6413816,816,13025,47,
49,97,Jessica Simpson ,@JessicaSimpson,USA,6317136,178,1133,74,
50,100,Trey Songz ,@TreySongz,USA,6173332,3185,8788,50,
51,101,Ed Sheeran ,@edsheeran,United Kingdom,6167140,500,26617,41,
52,104,Nick Jonas ,@nickjonas,USA,6012511,185,2423,46,
53,107,Carly Rae Jepsen ,@carlyraejepsen,Canada,5858141,95146,4279,49,
54,112,Sherina Munaf ,@sherinamunaf,Indonesia,5698343,360,11877,49,
55,127,T-Raww ,@Tyga,USA,5303959,3532,7062,50,
56,132,joe jonas ,@joejonas,USA,5132156,498,5448,40,
57,133,Soulja Boy ,@souljaboy,USA,5066129,4811,73219,55,
58,136,Jason Mraz ,@jason_mraz,USA,4932803,12,2254,52,
59,138,Kelly Rowland,@KELLYROWLAND,USA,4867481,1437,6518,49,
60,139,David Bisbal ,@davidbisbal,Spain,4831240,370,7765,45,
61,140,Calle 13,@Calle13Oficial,Puerto Rico,4820257,587,13767,48,
62,145,Luis Fonsi ,@luisfonsi,Puerto Rico,4699810,265,3859,49,
63,150,Thalia ,@thalia,Mexico,4576359,1360,9505,73,
64,152,Queen Latifah ,@IAMQUEENLATIFAH,USA,4563508,104,842,46,
65,153,Daddy Yankee ,@daddy_yankee,Puerto Rico,4562339,56,9682,48,
66,156,Vidi Aldiano ,@vidialdiano,Indonesia,4527451,457,22521,47,
67,158,Cody Simpson ,@CodySimpson,Australia,4511128,146723,21155,43,
68,163,LMFAO ,@LMFAO,USA,4431082,1572,4795,50,
69,169,Luan Santana ,@luansantana,Brazil,4375047,1941,6116,46,
70,170,Christina Aguilera ,@xtina,USA,4369579,19,425,25,
71,180,Cher Lloyd ,@CherLloyd,United Kingdom,4249328,2358,2762,29,
72,181,Olly Murs ,@ollyofficial,United Kingdom,4249175,2223,11555,40,
73,185,afgansyah reza ,@afgansyah_reza,Indonesia,4192871,578,7792,41,
74,186,Lenny Kravitz ,@LennyKravitz,USA,4188820,1907,1035,50,
75,187,Jonas Brothers ,@JonasBrothers,USA,4185361,2496,4136,49,
76,191,John Legend ,@johnlegend,USA,4158382,389,4843,53,
77,195,Lily Allen,@lilyrosecooper,United Kingdom,4113226,326,6545,54,
78,196,Rev Run ,@RevRunWisdom,USA,4110300,0,14336,50,
79,199,Adam Levine ,@adamlevine,USA,4099147,16945,4907,44,
80,214,Sandy Leah ,@SandyLeah,Brazil,3917949,103,4304,46,
81,216,Mary J. Blige ,@maryjblige,USA,3890543,224,5253,45,
82,223,Sean Kingston,@SeanKingston,USA,3801223,841,19545,50,
83,227,Jaden Smith ,@officialjaden,USA,3753717,2209,2228,25,
84,228,Big Sean ,@BigSean,USA,3740183,1751,14690,53,
85,230,Cheryl Cole ,@CherylCole,United Kingdom,3726256,347,2252,25,
86,232,T.I. ,@Tip,USA,3723170,342,4885,38,
87,234,Kelly Clarkson ,@kelly_clarkson,USA,3706494,64,2942,50,
88,236,Yoko Ono ,@yokoono,Japan,3690882,956718,5030,53,
89,245,Ricardo Montaner ,@montanertwiter,Argentina,3614485,282,24503,46,
90,246,Mac Miller ,@MacMiller,USA,3600670,687,21806,49,
91,249,LL COOL J ,@llcoolj,USA,3590239,5946,18204,50,
92,254,Chayanne,@CHAYANNEMUSIC,Puerto Rico,3531081,124,1685,48,
93,257,Ne-Yo,@NeYoCompound,USA,3512828,7637,4563,49,
94,258,J. Cole ,@JColeNC,USA,3512091,362,2019,52,
95,262,Juan Luis Guerra,@JuanLuisGuerra,Dominican Republic,3474002,63,373,39,
96,264,Miranda Cosgrove,@MirandaCosgrove,USA,3447970,10032,5690,50,
97,267,Enrique Iglesias,@enrique305 ,Spain,3421631,31,1277,47,
98,271,Ciara,@ciara,USA,3391816,69,4640,49,
99,274,Siwon Choi,@siwon407,South Korea,3377469,417,2686,37,
100,279,Ke$ha,@keshasuxx,USA,3328797,435,3604,50,
,,,,,,454,4.425,49,MEDIANS
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source: Twitaholic,,,,,,,,,
http://twitaholic.com/top100/followers/,,,,,,,,,
